Name,SSD,orcid,hindex,openalex id,past_institutions_id,DS Department,ins_id
Lucio De Capitani,,0000-0001-7495-4980,8.0,https://openalex.org/A5017979431,,0,https://openalex.org/I66752286
Alessandro Avellone,,0000-0003-1677-1005,6.0,https://openalex.org/A5048799091,,0,https://openalex.org/I66752286
Alberto Arcagni,,0000-0003-4170-1447,13.0,https://openalex.org/A5021923916,,0,https://openalex.org/I861853513
S Rimoldi,,0000-0001-9693-9642,7.0,https://openalex.org/A5052015895,,0,https://openalex.org/I66752286
Martina Saletta,,0000-0001-7250-8987,4.0,https://openalex.org/A5081081559,,0,https://openalex.org/I11039511
Valeria Mercuri,,0009-0006-5966-8381,0.0,https://openalex.org/A5093052127,,0,https://openalex.org/I66752286
Antonio Candelieri,,0000-0003-1431-576X,29.0,https://openalex.org/A5007832994,,0,https://openalex.org/I66752286
Andrea Ponti,,0000-0003-4187-4209,9.0,https://openalex.org/A5052850594,,0,https://openalex.org/I66752286
Francesco Archetti,,0000-0003-1131-3830,24.0,https://openalex.org/A5011390491,,0,https://openalex.org/I66752286
Mauro Maria Baldi,,0000-0001-5531-3854,10.0,https://openalex.org/A5091456170,,0,https://openalex.org/I55133342
Reynier Ortega Bueno,,0000-0003-2708-2678,7.0,https://openalex.org/A5015714933,,0,https://openalex.org/I60053951
Paolo Rosso,,0000-0002-8922-1242,57.0,https://openalex.org/A5053947754,,0,https://openalex.org/I60053951
Francesca Gasparini,,0000-0002-6279-6660,23.0,https://openalex.org/A5088609790,,0,https://openalex.org/I66752286
Aurora Saibene,,0000-0002-4405-8234,8.0,https://openalex.org/A5038865376,,0,https://openalex.org/I66752286
Debora Nozza,,0000-0002-7998-2267,18.0,https://openalex.org/A5032463780,,0,https://openalex.org/I71209653
Cezar Sas,,0000-0002-3018-0140,4.0,https://openalex.org/A5075770379,,0,https://openalex.org/I169381384
Silvia Terragni,,0000-0002-0358-1854,10.0,https://openalex.org/A5004310042,,0,https://openalex.org/I66752286
Giulia Rizzi,,0000-0002-0619-0760,3.0,https://openalex.org/A5012672195,,0,https://openalex.org/I66752286
Francesco Bartolucci,,0000-0001-7057-1421,32.0,https://openalex.org/A5054448743,,0,https://openalex.org/I27483092
Ferdinando M. Ametrano,,0000-0001-8521-0063,8.0,https://openalex.org/A5000132361,,0,https://openalex.org/I66752286
Fakhreddine Zayer,,0000-0003-1989-5951,7.0,https://openalex.org/A5025039601,,0,https://openalex.org/I176601375
Baker Mohammad,,0000-0002-6063-473X,31.0,https://openalex.org/A5013814572,,0,https://openalex.org/I176601375
Hani Saleh,,0000-0002-7185-0278,27.0,https://openalex.org/A5078108496,,0,https://openalex.org/I176601375
Saman Fouladi,,0000-0003-3367-4952,4.0,https://openalex.org/A5041674557,,0,https://openalex.org/I189158943
Miloš Pušica,,0009-0003-4522-6222,3.0,https://openalex.org/A5008469023,,0,https://openalex.org/I4210144925
Sam Cromie,,0000-0001-5023-0435,7.0,https://openalex.org/A5009238704,,0,https://openalex.org/I205274468
Maria Chiara Leva,,0000-0002-6770-8332,14.0,https://openalex.org/A5061312792,,0,https://openalex.org/I4210144925
Shalli Rani,,0000-0002-8474-9435,34.0,https://openalex.org/A5004251248,,0,https://openalex.org/I74319210
Jianyi Lin,,0000-0002-3299-448X,19.0,https://openalex.org/A5091201700,,0,https://openalex.org/I103320735
Corrado Mio,,0000-0002-1087-4866,4.0,https://openalex.org/A5005019806,,0,https://openalex.org/I176601375
Ernesto Damiani,,0000-0002-9557-6496,58.0,https://openalex.org/A5075830877,,0,https://openalex.org/I189158943
Ebtesam Almazrouei,,0000-0003-3445-0467,8.0,https://openalex.org/A5080078385,,0,https://openalex.org/I4210087059
Nawaf Almoosa,,0000-0002-5091-3030,11.0,https://openalex.org/A5000567069,,0,https://openalex.org/I176601375
Inês Filipa Fernandes Ramos,,0000-0003-3576-2550,1.0,https://openalex.org/A5101480773,,0,https://openalex.org/I189158943
Anshika Sharma,,0000-0002-8160-0766,6.0,https://openalex.org/A5038194329,,0,https://openalex.org/I74319210
Himanshi Babbar,,0000-0003-4580-6617,15.0,https://openalex.org/A5074678857,,0,https://openalex.org/I74319210
Sountharrajan Sehar,,0000-0003-4248-3875,3.0,https://openalex.org/A5085568268,,0,https://openalex.org/I81556334
Aman Singh,,0000-0001-6571-327X,28.0,https://openalex.org/A5073215738,,0,https://openalex.org/I119939252
Annalisa Barsotti,,0000-0002-8279-729X,1.0,https://openalex.org/A5087714177,,0,https://openalex.org/I189158943
Meriem Bettayeb,,0000-0002-0163-1395,7.0,https://openalex.org/A5032470869,,0,https://openalex.org/I117222138
Heba Abunahla,,0000-0002-5357-2374,13.0,https://openalex.org/A5006143958,,0,https://openalex.org/I98358874
Michela Lecca,,0000-0001-7961-0212,14.0,https://openalex.org/A5087921260,,0,https://openalex.org/I2277624104
Marco Anisetti,,0000-0002-5438-9467,25.0,https://openalex.org/A5090344140,,0,https://openalex.org/I189158943
Claudio A. Ardagna,,0000-0001-7426-4795,27.0,https://openalex.org/A5058453558,,0,https://openalex.org/I189158943
Nicola Bena,,0000-0003-4909-9892,7.0,https://openalex.org/A5046305434,,0,https://openalex.org/I189158943
Vincenzo Giandomenico,,0009-0001-7729-0574,1.0,https://openalex.org/A5093843226,,0,https://openalex.org/I189158943
Aldo Geuna,,0000-0001-8587-840X,42.0,https://openalex.org/A5011772671,,0,https://openalex.org/I55143463
Massimiliano Nuccio,,0000-0002-0751-2143,13.0,https://openalex.org/A5070397846,,0,https://openalex.org/I149461666
Fabio Pammolli,,0000-0001-7056-1303,44.0,https://openalex.org/A5050830060,,0,https://openalex.org/I93860229
Armando Rungi,,0000-0002-2204-582X,16.0,https://openalex.org/A5021209136,,0,https://openalex.org/I127077003
Federico Tamagni,,0000-0001-6476-6388,19.0,https://openalex.org/A5038404470,,0,https://openalex.org/I162290304
Carlo Bottai,,0000-0002-2878-9360,2.0,https://openalex.org/A5081225656,,0,https://openalex.org/I66752286
Lisa Crosato,,0000-0002-3415-656X,8.0,https://openalex.org/A5002037791,,0,https://openalex.org/I149461666
Josep Domènech,,0000-0002-7302-5810,29.0,https://openalex.org/A5026765555,,0,https://openalex.org/I60053951
Caterina Liberati,,0000-0001-9910-4018,8.0,https://openalex.org/A5005872455,,0,https://openalex.org/I66752286
Riccardo Cappelli,,0000-0001-7917-5142,6.0,https://openalex.org/A5037370959,,0,https://openalex.org/I122534668
Marco Cremaschi,,0000-0001-7840-6228,7.0,https://openalex.org/A5060472818,,0,https://openalex.org/I66752286
Anna Panzeri,,0000-0001-5999-858X,15.0,https://openalex.org/A5001376956,,0,https://openalex.org/I138689650
Andrea Spoto,,0000-0002-7580-544X,22.0,https://openalex.org/A5075352572,,0,https://openalex.org/I138689650
Fabio D’Adda,,0009-0006-0995-0661,1.0,https://openalex.org/A5096380832,,0,https://openalex.org/I66752286
Mario Mezzanzanica,,0000-0003-0399-2810,20.0,https://openalex.org/A5039716498,,0,https://openalex.org/I66752286
Andrea Seveso,,0000-0001-7132-7703,8.0,https://openalex.org/A5036819374,,0,https://openalex.org/I66752286
Lorenzo Malandri,,0000-0002-0222-9365,13.0,https://openalex.org/A5046882068,,0,https://openalex.org/I66752286
Navid Nobani,,0000-0001-9964-097X,6.0,https://openalex.org/A5040060014,,0,https://openalex.org/I66752286
Simone D’Amico,,0009-0002-2820-0277,0.0,https://openalex.org/A5102781905,,0,https://openalex.org/I66752286
Antonio Serino,,0009-0008-0737-8547,1.0,https://openalex.org/A5099566317,,0,https://openalex.org/I66752286
Anna Giabelli,,0000-0001-9419-4800,6.0,https://openalex.org/A5032957516,,0,https://openalex.org/I66752286
Vittorio Haardt,,0009-0005-6877-8112,0.0,https://openalex.org/A5115721388,,0,
Samuele Colombo,,0009-0001-4958-927X,0.0,https://openalex.org/A5117539811,,0,https://openalex.org/I66752286
Alessandro Castelnovo,,0000-0001-5234-1155,7.0,https://openalex.org/A5015450677,,0,https://openalex.org/I66752286
Nicolò Mombelli,,0009-0006-0550-7240,0.0,https://openalex.org/A5093538370,,0,
Daniele Potertì,,0009-0006-6525-4492,0.0,https://openalex.org/A5099566316,,0,
Salvatore Sorrentino,,0000-0001-9125-5225,2.0,https://openalex.org/A5040936907,,0,https://openalex.org/I93860229
Noemi Gozzi,,0000-0003-0126-7893,8.0,https://openalex.org/A5070986012,,0,https://openalex.org/I35440088
Vincenzo Moscato,,0000-0002-0754-7696,38.0,https://openalex.org/A5081965427,,0,https://openalex.org/I71267560
Antonio Picariello,,0000-0003-4804-1007,38.0,https://openalex.org/A5067863367,,0,https://openalex.org/I71267560
Giancarlo Sperlí,,0000-0003-4033-3777,32.0,https://openalex.org/A5080190737,,0,https://openalex.org/I71267560
Xiaochen Chou,,0000-0003-1491-9336,6.0,https://openalex.org/A5069425448,,0,https://openalex.org/I66752286
Stein W. Wallace,,0000-0001-5909-7909,42.0,https://openalex.org/A5045131799,,0,https://openalex.org/I931913249
Stanislav Fedorov,,0000-0002-8896-5047,4.0,https://openalex.org/A5021329240,,0,https://openalex.org/I177477856
Bruno G. Galuzzi,,0000-0002-8518-5352,9.0,https://openalex.org/A5022533797,,0,https://openalex.org/I4210095629
Marco Piazza,,0000-0002-8337-0415,2.0,https://openalex.org/A5058808642,,0,https://openalex.org/I66752286
Marzia Bedoni,,0000-0003-2618-3661,27.0,https://openalex.org/A5058902689,,0,https://openalex.org/I4210116940
Peter Filzmoser,,0000-0002-8014-4682,67.0,https://openalex.org/A5041191852,,0,https://openalex.org/I4210153325
Sonia Migliorati,,0000-0002-8968-9240,10.0,https://openalex.org/A5043955676,,0,https://openalex.org/I66752286
Silvana Stefani,,0000-0002-1032-0214,14.0,https://openalex.org/A5088216113,,0,https://openalex.org/I66752286
Gleda Kutrolli,,0000-0001-6602-2622,5.0,https://openalex.org/A5074504932,,0,https://openalex.org/I184942183
Sergei Kulakov,,0000-0002-8075-2012,4.0,https://openalex.org/A5066273761,,0,https://openalex.org/I62318514
Ridha Ejbali,,0000-0002-8148-1621,17.0,https://openalex.org/A5029856197,,0,https://openalex.org/I68916915
Mourad Zaied,,0000-0003-4013-5834,26.0,https://openalex.org/A5074838703,,0,https://openalex.org/I68916915
Diego Valsesia,,0000-0003-1997-2910,20.0,https://openalex.org/A5058182410,,0,https://openalex.org/I177477856
Tiziano Bianchi,,0000-0002-3965-3522,31.0,https://openalex.org/A5054395599,,0,https://openalex.org/I177477856
Enrico Magli,,0000-0002-0901-0251,39.0,https://openalex.org/A5034486931,,0,https://openalex.org/I177477856
